,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
66,2019-06-06,2943576.9072371023,2866065.874474789,2982380.104542823,2943576.9072371023,2943576.9072371023,-18532.547824225312,-18532.547824225312,-18532.547824225312,-18532.547824225312,-18532.547824225312,-18532.547824225312,0.0,0.0,0.0,2925044.359412877
67,2019-06-07,2948093.4793020547,2872871.44072887,2988472.7227771464,2948093.4793020547,2948093.4793020547,-15852.14727609068,-15852.14727609068,-15852.14727609068,-15852.14727609068,-15852.14727609068,-15852.14727609068,0.0,0.0,0.0,2932241.3320259643
68,2019-06-08,2952610.051367007,2879052.9039496523,2993126.1066039973,2952610.051367007,2952610.051367007,-17396.60405906389,-17396.60405906389,-17396.60405906389,-17396.60405906389,-17396.60405906389,-17396.60405906389,0.0,0.0,0.0,2935213.4473079434
69,2019-06-09,2957126.6234319597,2893245.9877906125,3010669.1909629935,2957126.6234319597,2957126.6234319597,-4470.907330195454,-4470.907330195454,-4470.907330195454,-4470.907330195454,-4470.907330195454,-4470.907330195454,0.0,0.0,0.0,2952655.7161017642
70,2019-06-10,2961643.195496912,2922113.4033820527,3038285.9000376677,2961643.195496912,2961643.195496912,19951.252834272113,19951.252834272113,19951.252834272113,19951.252834272113,19951.252834272113,19951.252834272113,0.0,0.0,0.0,2981594.448331184
71,2019-06-11,2966159.7674672143,2941187.069660058,3049995.544738787,2966159.7674672143,2966159.7674672143,27454.781720405634,27454.781720405634,27454.781720405634,27454.781720405634,27454.781720405634,27454.781720405634,0.0,0.0,0.0,2993614.5491876197
72,2019-06-12,2970676.339437516,2922709.211181027,3037498.1583890747,2970676.339437516,2970676.339437516,8846.171934950018,8846.171934950018,8846.171934950018,8846.171934950018,8846.171934950018,8846.171934950018,0.0,0.0,0.0,2979522.511372466
73,2019-06-13,2975192.9114078176,2899083.6659837975,3012724.8687773366,2975192.9114078176,2975192.9114078176,-18532.547824234,-18532.547824234,-18532.547824234,-18532.547824234,-18532.547824234,-18532.547824234,0.0,0.0,0.0,2956660.363583584
74,2019-06-14,2979709.4835260836,2909425.9974466595,3023365.020471624,2979709.4835260836,2979709.4835260836,-15852.147276082998,-15852.147276082998,-15852.147276082998,-15852.147276082998,-15852.147276082998,-15852.147276082998,0.0,0.0,0.0,2963857.3362500006
75,2019-06-15,2984226.055644349,2913804.5369665744,3025137.7967355396,2984226.055644349,2984226.055644349,-17396.60405906527,-17396.60405906527,-17396.60405906527,-17396.60405906527,-17396.60405906527,-17396.60405906527,0.0,0.0,0.0,2966829.451585284
76,2019-06-16,2988742.627762615,2926871.5888038054,3043361.9079429,2988742.627762615,2988742.627762615,-4470.907330243586,-4470.907330243586,-4470.907330243586,-4470.907330243586,-4470.907330243586,-4470.907330243586,0.0,0.0,0.0,2984271.720432372
77,2019-06-17,2993259.200025372,2956468.825453971,3070926.664662058,2993259.200025372,2993259.200025372,19951.252834274776,19951.252834274776,19951.252834274776,19951.252834274776,19951.252834274776,19951.252834274776,0.0,0.0,0.0,3013210.452859647
78,2019-06-18,2997775.7722881287,2969229.7726478917,3081456.146483773,2997775.7722881287,2997775.7722881287,27454.7817203797,27454.7817203797,27454.7817203797,27454.7817203797,27454.7817203797,27454.7817203797,0.0,0.0,0.0,3025230.5540085086
79,2019-06-19,3002292.3445508853,2956526.6511941645,3067370.6161839585,3002292.3445508853,3002292.3445508853,8846.17193492101,8846.17193492101,8846.17193492101,8846.17193492101,8846.17193492101,8846.17193492101,0.0,0.0,0.0,3011138.516485806
80,2019-06-20,3006808.9168913863,2934161.970123871,3048249.30038733,3006808.9168913863,3006808.9168913863,-18532.547824242687,-18532.547824242687,-18532.547824242687,-18532.547824242687,-18532.547824242687,-18532.547824242687,0.0,0.0,0.0,2988276.3690671436
81,2019-06-21,3011325.4892318873,2935027.343562633,3051007.2263847813,3011325.4892318873,3011325.4892318873,-15852.147276088057,-15852.147276088057,-15852.147276088057,-15852.147276088057,-15852.147276088057,-15852.147276088057,0.0,0.0,0.0,2995473.341955799
